TYPE,CURRENCY,TIME_INTERVAL,AMOUNT_high_val_cust,AMOUNT_low_val_cust,AMOUNT_mid_val_cust,AMOUNT_occasional_cust,CREATED_DATE_high_val_cust,CREATED_DATE_low_val_cust,CREATED_DATE_mid_val_cust,CREATED_DATE_occasional_cust,USER_ID_high_val_cust,USER_ID_low_val_cust,USER_ID_mid_val_cust,USER_ID_occasional_cust
ATM,GBP,0-3,4061.87,2511.82,3033.01,254.98,29,16,16,2,21,15,13,2
ATM,GBP,3-6,6019.23,1094.66,5261.86,36.24,32,9,27,1,24,9,25,1
ATM,GBP,6-9,12159.619999999999,1715.51,10302.41,1673.32,65,11,57,13,45,10,51,12
ATM,GBP,9-12,18405.12,5170.04,11753.35,1846.82,94,32,63,17,55,30,57,17
ATM,GBP,12-15,15241.26,5358.2699999999995,12642.36,2722.54,88,29,65,22,55,29,59,21
ATM,GBP,15-18,11733.19,5463.32,12217.27,2359.57,79,33,66,21,51,31,53,20
ATM,GBP,18-21,11556.87,5847.76,10525.81,2865.34,62,35,56,26,47,35,49,25
ATM,GBP,21-24,2832.09,1765.26,3692.18,1913.45,16,8,20,11,15,8,18,9
BANK_TRANSFER,GBP,0-3,5422.68,1270.79,3504.15,446.48,31,7,21,5,22,7,19,5
BANK_TRANSFER,GBP,3-6,6669.24,2739.2,4468.78,288.59,35,15,23,2,27,15,21,2
BANK_TRANSFER,GBP,6-9,11698.35,4003.89,8981.87,1055.93,64,21,52,6,44,21,49,5
BANK_TRANSFER,GBP,9-12,14185.97,6606.85,14048.42,1493.49,80,38,77,10,48,38,66,10
BANK_TRANSFER,GBP,12-15,16666.42,6180.82,14564.05,1740.34,87,36,76,15,53,35,67,14
BANK_TRANSFER,GBP,15-18,13231.78,7215.15,11832.23,1585.25,72,37,64,16,41,36,57,16
BANK_TRANSFER,GBP,18-21,15282.54,3458.09,12638.8,1998.8999999999999,79,23,70,14,53,22,61,12
BANK_TRANSFER,GBP,21-24,5820.9,2493.42,5970.27,934.93,32,11,37,8,23,10,34,8
CARD_PAYMENT,GBP,0-3,3562.86,1696.93,5020.61,337.49,21,9,25,2,17,9,23,2
CARD_PAYMENT,GBP,3-6,6853.1,1569.0800000000002,2891.3,749.0799999999999,36,11,17,4,23,11,16,4
CARD_PAYMENT,GBP,6-9,11488.28,5215.45,11102.6,597.39,64,32,59,6,44,31,53,6
CARD_PAYMENT,GBP,9-12,16172.380000000001,9276.84,10585.74,2449.97,93,50,66,18,54,47,55,16
CARD_PAYMENT,GBP,12-15,13775.78,7196.97,10722.67,1244.9,69,42,62,10,48,42,53,10
CARD_PAYMENT,GBP,15-18,14509.51,6760.38,14855.26,2720.27,88,39,83,18,48,38,71,18
CARD_PAYMENT,GBP,18-21,11923.95,5640.639999999999,8613.18,1308.51,67,38,50,10,49,34,46,10
CARD_PAYMENT,GBP,21-24,4396.68,2841.17,4194.42,491.01,26,15,22,4,18,15,22,4
P2P_TRANSFER,GBP,0-3,543.33,658.47,1950.35,793.76,6,4,10,4,6,4,10,4
P2P_TRANSFER,GBP,3-6,1811.06,1490.49,1728.22,430.18,10,6,7,3,9,6,7,3
P2P_TRANSFER,GBP,6-9,4851.9400000000005,2634.79,3733.62,1075.43,23,12,17,6,19,12,16,6
P2P_TRANSFER,GBP,9-12,6021.46,4121.76,4760.69,1856.3999999999999,38,21,29,11,24,21,27,11
P2P_TRANSFER,GBP,12-15,4589.7,1710.53,4820.88,486.96000000000004,27,13,26,4,26,13,23,4
P2P_TRANSFER,GBP,15-18,6047.78,1836.6399999999999,6100.76,1347.84,37,14,33,9,28,13,31,9
P2P_TRANSFER,GBP,18-21,2893.32,2378.57,4427.33,211.05,16,12,23,3,16,12,23,3
P2P_TRANSFER,GBP,21-24,2154.91,574.8299999999999,1592.98,103.47,14,4,10,3,11,4,10,3
TOPUP,GBP,0-3,3855.0499999999997,771.97,4391.66,389.98,24,6,26,3,18,6,20,3
TOPUP,GBP,3-6,6425.84,1456.47,3932.36,168.52,36,7,17,3,29,7,16,3
TOPUP,GBP,6-9,12345.42,5540.76,10298.02,1424.91,68,31,52,11,48,30,49,9
TOPUP,GBP,9-12,14056.22,5719.18,13524.119999999999,1277.73,84,36,69,8,55,35,63,7
TOPUP,GBP,12-15,17247.7,6370.8099999999995,15211.51,2812.96,97,35,80,17,57,33,70,15
TOPUP,GBP,15-18,12946.99,8025.12,16505.29,1091.54,71,45,83,9,48,44,72,9
TOPUP,GBP,18-21,10471.89,2625.81,10840.52,1760.19,63,22,62,14,44,21,55,13
TOPUP,GBP,21-24,5346.91,2021.47,4466.39,843.22,27,13,23,8,22,13,21,8
